0.5,0.48,0.4,0.6,0.38,0.56,0.5,0.44,0.88,0.66,0.98,0.78,0.82,0.86,0.78,0.84,0.52,0.84,0.86,0.86,0.98,0.82,0.92,0.9,0.92,0.82,0.86,0.76,0.78,0.64,0.88,0.86,0.96,0.88,0.9,0.94
0.56,0.42,0.42,0.36,0.5,0.48,0.52,0.42,1,0.9,0.94,0.74,0.96,0.84,0.8,0.98,0.86,0.84,0.98,0.94,0.84,0.78,0.8,1,1,1,0.96,0.9,0.72,0.76,0.78,0.96,0.98,0.98,0.88,0.86
0.56,0.54,0.5,0.58,0.48,0.36,0.84,0.44,0.98,0.88,0.94,0.98,1,0.9,0.8,0.56,0.82,0.94,0.8,0.98,0.68,0.92,1,1,0.94,1,1,0.98,0.92,0.82,0.8,0.9,0.96,0.8,0.74,0.82
0.36,0.4,0.62,0.54,0.66,0.42,0.86,0.4,0.92,0.84,0.86,0.62,0.84,0.54,0.88,0.92,0.64,1,1,0.72,0.82,0.9,1,1,1,0.94,0.92,1,0.72,0.84,0.82,0.68,0.78,0.92,0.54,0.48
0.5,0.38,0.36,0.22,0.48,0.5,0.54,0.38,0.9,0.9,0.78,0.84,0.88,0.82,0.66,0.78,0.92,0.92,0.86,1,0.98,1,0.58,0.74,0.74,0.84,0.98,0.82,0.98,0.84,0.72,0.98,0.98,0.74,0.78,0.84
0.6,0.34,0.8,0.68,0.68,0.3,0.44,0.66,0.98,1,0.96,0.78,0.96,0.98,0.76,0.86,0.98,0.76,0.86,0.96,1,1,0.64,0.86,0.98,0.88,0.98,0.94,0.82,0.84,0.94,0.96,0.62,0.84,0.96,0.4
0.28,0.52,0.6,0.58,0.54,0.58,0.36,0.5,0.86,0.96,0.7,0.98,0.98,0.94,0.88,0.62,0.9,0.66,0.8,0.92,0.76,1,1,0.94,0.94,1,1,0.88,0.72,0.82,0.84,0.94,0.82,0.88,0.76,0.86
0.28,0.34,0.24,0.48,0.6,0.5,0.44,0.34,0.92,0.96,0.92,0.96,0.98,0.82,0.88,0.5,0.96,0.72,0.8,0.78,0.92,0.9,0.68,1,0.74,0.74,0.86,1,1,0.74,0.92,0.72,0.8,0.78,0.72,0.78
0.38,0.54,0.2,0.4,0.48,0.32,0.7,0.28,0.98,0.86,0.98,0.74,1,0.88,0.9,0.84,0.98,0.98,0.6,0.96,0.76,0.92,0.88,0.76,0.98,0.98,0.76,0.98,0.98,0.96,0.86,0.82,0.86,0.72,1,0.74
0.7,0.66,0.7,0.3,0.62,0.56,0.42,0.34,0.96,0.96,0.98,0.78,0.96,1,0.86,0.54,0.92,0.86,0.7,1,0.92,0.88,1,0.88,0.94,0.7,1,1,0.98,0.88,0.96,0.92,0.82,0.86,0.86,0.62
0.46,0.4,0.46,0.34,0.42,0.5,0.28,0.32,0.92,0.98,0.74,0.78,0.78,0.66,0.86,0.94,0.98,1,0.74,0.94,0.88,0.78,0.76,1,0.96,0.68,0.92,1,0.74,0.92,0.82,0.82,0.64,0.68,0.78,0.92
0.56,0.3,0.52,0.46,0.42,0.46,0.52,0.76,0.96,0.88,0.9,0.98,0.8,0.98,0.96,0.96,0.88,0.8,0.7,0.9,0.9,0.82,0.92,0.74,0.98,0.86,0.78,0.96,0.78,0.8,0.68,0.88,0.68,0.68,0.84,0.36
0.36,0.28,0.28,0.28,0.56,0.54,0.52,0.36,0.94,0.9,0.9,0.68,0.94,0.84,0.46,0.94,0.7,0.8,0.82,0.54,0.78,0.9,0.72,0.68,0.86,0.98,0.76,0.76,0.94,0.78,0.72,0.82,0.68,0.86,0.6,0.76
0.46,0.44,0.38,0.52,0.56,0.52,0.36,0.48,0.86,0.92,0.9,1,0.82,0.92,0.94,0.5,0.98,1,0.74,0.8,0.78,0.82,0.98,1,1,0.44,0.94,0.72,0.98,0.78,1,0.84,0.88,0.68,0.88,0.84
0.5,0.28,0.3,0.28,0.46,0.38,0.72,0.24,0.96,0.76,0.98,0.92,0.96,1,0.98,0.92,0.9,0.84,0.92,0.72,1,0.98,0.52,0.84,0.98,0.96,0.9,0.92,0.9,1,0.8,0.78,0.64,0.9,0.9,0.7
0.44,0.3,0.2,0.32,0.38,0.44,0.84,0.22,0.9,0.94,0.92,0.84,0.96,0.88,0.98,0.9,0.76,0.82,0.76,0.64,1,1,0.58,0.86,0.86,0.82,0.98,0.86,0.84,0.88,0.8,0.88,0.94,0.78,0.66,0.86
0.32,0.3,0.4,0.72,0.74,0.4,0.36,0.86,0.96,0.94,0.98,0.9,0.82,0.98,0.96,0.68,0.98,1,0.92,0.94,1,1,0.54,0.94,0.96,0.96,0.98,0.86,0.8,0.96,0.94,0.82,0.96,0.44,0.8,0.8
0.58,0.56,0.74,0.64,0.58,0.7,0.5,0.36,0.9,0.86,0.92,0.98,1,0.96,0.9,0.84,0.92,0.82,0.98,0.82,1,0.98,1,0.8,0.94,0.9,0.72,0.88,0.8,0.84,0.96,0.74,0.88,0.78,0.74,0.8
0.5,0.66,0.36,0.26,0.44,0.48,0.5,0.28,0.9,0.9,0.86,0.54,0.78,0.8,0.96,0.82,1,0.98,0.92,0.8,0.84,1,0.8,0.96,0.96,0.84,0.8,0.9,0.7,0.64,0.82,0.92,0.78,0.72,0.9,0.4
0.38,0.3,0.2,0.4,0.54,0.28,0.3,0.64,0.76,1,0.72,0.4,0.98,0.98,0.58,0.7,0.96,0.82,0.72,0.74,0.86,0.7,0.9,0.78,1,0.92,0.9,0.78,0.86,0.84,0.84,0.78,0.74,0.7,0.76,0.8
0.52,0.4,0.62,0.5,0.74,0.72,0.7,0.22,1,0.96,0.78,0.92,0.78,1,1,0.98,0.84,0.92,0.7,0.76,0.78,0.82,1,0.96,0.86,0.98,0.78,0.8,0.86,0.6,0.6,0.86,0.94,0.72,0.78,0.48
0.5,0.62,0.4,0.4,0.54,0.54,0.28,0.5,0.84,0.92,0.92,0.78,0.98,0.7,1,0.88,0.94,0.78,0.44,0.94,0.72,0.8,0.92,0.78,1,1,0.68,0.88,0.76,0.74,1,0.9,0.86,0.86,0.7,0.36
0.64,0.46,0.4,0.46,0.36,0.56,0.76,0.36,0.88,0.68,1,0.98,0.7,0.82,0.36,0.88,0.92,0.74,0.76,0.92,0.86,0.82,1,1,0.82,0.98,1,0.84,0.74,0.86,0.98,0.88,0.82,0.86,0.74,0.76
0.48,0.48,0.62,0.36,0.4,0.62,0.62,0.38,0.92,0.94,0.72,1,0.36,0.86,0.84,0.82,0.72,0.9,0.74,0.96,0.8,0.7,0.96,0.98,1,0.9,0.82,0.98,0.88,0.96,0.84,0.84,0.8,0.88,0.74,0.78
0.66,0.4,0.48,0.4,0.46,0.44,0.46,0.48,1,0.86,0.9,0.76,1,0.74,0.84,0.88,0.8,0.76,0.82,0.82,0.98,0.76,0.7,0.92,1,0.88,0.76,0.7,1,0.88,0.72,0.82,0.84,0.66,0.6,0.82
0.52,0.6,0.42,0.32,0.44,0.58,0.24,0.7,0.84,0.94,1,1,0.9,0.96,1,0.8,0.84,0.72,0.96,0.74,0.84,0.98,0.98,1,0.84,0.84,0.72,0.9,0.82,0.76,0.84,0.9,0.96,0.7,0.94,0.7
0.38,0.46,0.44,0.6,0.46,0.54,0.52,0.58,0.98,0.96,0.98,0.94,0.88,0.9,0.94,0.82,0.62,0.66,0.88,0.68,0.86,0.98,0.94,1,0.5,0.92,0.84,0.84,0.98,0.8,0.98,0.8,0.92,0.64,0.58,0.8
0.48,0.4,0.56,0.48,0.28,0.56,0.7,0.42,0.96,0.98,1,0.98,0.92,0.54,0.98,0.86,1,0.92,0.88,0.88,0.82,0.86,1,1,0.84,0.98,0.94,0.9,0.88,1,1,0.86,0.98,0.74,0.84,0.92
0.42,0.3,0.3,0.64,0.58,0.46,0.4,0.38,0.8,0.98,0.72,0.92,0.78,0.88,0.9,0.82,0.92,0.98,0.96,0.98,0.98,1,0.82,0.9,0.84,0.92,0.84,0.9,0.9,0.98,0.78,0.84,0.84,0.76,0.56,0.36
0.44,0.44,0.56,0.2,0.52,0.48,0.44,0.4,0.96,0.92,1,0.9,1,0.96,0.76,0.84,0.72,0.94,0.78,1,1,0.84,0.46,0.92,0.76,0.74,0.76,0.7,0.96,0.62,0.96,0.9,0.64,0.76,0.56,0.76
0.42,0.34,0.46,0.42,0.6,0.56,0.82,0.46,0.98,1,0.76,1,0.32,0.8,0.98,0.62,0.96,0.88,0.88,0.66,0.76,0.62,0.98,1,1,0.46,0.92,0.82,0.88,0.96,0.96,0.84,0.94,0.9,0.82,0.76
0.4,0.2,0.24,0.38,0.38,0.38,0.36,0.28,0.98,0.78,1,0.86,0.88,0.46,0.64,0.8,0.76,0.96,0.68,0.98,0.98,0.78,0.76,0.88,0.74,0.96,0.76,0.86,0.7,0.8,0.68,0.72,0.74,0.7,0.52,0.44
0.42,0.26,0.32,0.22,0.48,0.4,0.18,0.14,0.9,0.58,0.9,0.86,0.5,0.98,0.62,0.7,0.9,0.64,0.72,0.96,1,0.6,0.72,0.8,0.76,1,0.9,0.96,0.98,0.72,0.9,0.84,0.7,0.56,0.78,0.28
0.34,0.46,0.4,0.24,0.36,0.26,0.5,0.38,0.96,0.88,0.84,0.98,0.98,1,0.84,0.36,0.98,0.82,0.6,0.86,0.72,0.98,1,0.8,0.82,0.86,0.9,0.72,0.86,1,0.98,0.98,0.78,0.88,0.76,0.7
0.56,0.4,0.48,0.6,0.34,0.44,0.74,0.28,0.98,0.88,0.84,0.96,0.9,0.88,0.82,0.82,0.66,0.72,0.86,0.78,0.8,0.98,0.98,1,0.94,0.9,0.88,1,0.82,1,0.98,0.9,0.92,0.56,0.7,0.58
0.48,0.3,0.48,0.36,0.5,0.36,0.5,0.42,1,0.94,1,1,0.8,0.82,0.92,0.84,0.98,0.9,0.9,0.66,0.98,0.88,0.72,0.98,0.88,0.72,0.9,0.9,0.96,0.98,0.8,0.82,0.92,0.72,0.86,0.34
0.16,0.28,0.44,0.54,0.44,0.54,0.7,0.44,0.9,0.92,1,0.72,0.98,1,0.92,0.88,0.76,0.84,0.66,0.94,0.8,0.92,0.94,0.78,0.6,0.74,0.68,0.82,0.92,0.8,0.76,1,0.64,0.94,0.98,0.76
0.52,0.34,0.22,0.5,0.28,0.64,0.8,0.46,0.96,0.88,1,0.96,0.96,0.92,0.96,0.56,0.54,0.84,0.58,1,0.98,0.98,0.42,0.54,0.9,0.86,0.84,1,0.78,0.76,0.88,0.9,0.7,0.8,0.56,0.84
0.6,0.62,0.2,0.74,0.62,0.46,0.6,0.38,0.96,0.88,0.82,1,0.86,1,0.86,0.68,0.86,0.9,0.94,1,0.96,0.5,0.92,0.76,0.96,0.86,0.9,0.94,0.82,0.9,0.9,0.78,0.84,0.86,0.84,0.84
0.42,0.4,0.16,0.48,0.56,0.5,0.6,0.4,0.92,0.9,1,0.88,0.76,0.92,0.88,0.48,0.9,0.92,0.94,0.72,0.72,0.98,0.94,1,0.78,0.66,0.8,0.76,1,0.94,0.82,0.92,0.76,0.78,0.82,0.86
0.22,0.5,0.38,0.5,0.7,0.7,0.34,0.52,0.96,0.9,1,1,0.88,1,0.96,0.54,0.84,0.9,0.88,0.98,1,0.4,0.64,0.82,0.86,0.76,0.94,1,0.86,0.72,1,0.68,0.94,0.8,0.96,0.86
0.48,0.44,0.5,0.44,0.38,0.52,0.28,0.74,0.98,0.94,0.96,0.82,0.96,0.8,0.88,0.82,0.9,0.74,0.72,0.94,0.66,0.92,0.62,1,0.68,0.8,0.74,0.9,0.82,0.72,0.86,0.88,0.96,0.92,0.72,0.84
0.46,0.36,0.38,0.42,0.48,0.5,0.3,0.54,0.98,0.92,0.9,0.8,0.5,1,0.84,0.84,0.9,0.7,1,0.8,1,0.98,1,0.94,0.98,0.76,0.82,0.88,0.82,0.7,1,0.82,0.72,0.74,0.62,0.52
0.56,0.64,0.42,0.24,0.6,0.5,0.26,0.38,0.72,0.76,0.98,0.98,0.98,1,0.92,0.86,0.84,0.98,0.94,0.94,0.86,0.98,1,0.74,0.92,0.98,0.86,0.78,0.9,0.9,1,1,1,0.94,0.8,0.76
0.64,0.36,0.52,0.46,0.54,0.54,0.58,0.34,0.94,1,0.9,0.94,0.74,0.9,0.66,0.86,0.9,0.9,0.92,1,1,0.52,0.94,0.78,0.86,0.92,0.9,0.9,0.86,0.82,0.78,0.84,0.92,0.7,0.96,0.72
0.4,0.42,0.44,0.28,0.58,0.32,0.38,0.46,0.84,1,1,0.94,0.94,0.78,0.84,0.88,0.98,0.86,0.92,0.86,0.8,1,1,1,0.7,0.9,0.78,0.92,0.86,0.82,0.8,1,0.74,0.76,0.82,0.84
0.44,0.32,0.58,0.54,0.38,0.36,0.66,0.38,0.98,0.92,0.96,0.82,1,0.96,0.94,0.9,0.96,0.68,0.96,0.72,0.98,0.98,0.78,1,0.74,0.84,0.8,0.94,0.9,0.84,0.78,0.9,0.88,0.92,0.76,0.38
0.44,0.32,0.56,0.28,0.56,0.48,0.7,0.46,0.88,0.98,0.86,0.74,0.98,0.84,0.88,0.82,0.86,0.9,0.96,0.96,0.98,0.84,0.8,0.76,0.88,0.86,0.82,0.92,0.94,0.76,1,0.86,0.96,0.72,0.66,0.72
0.36,0.4,0.54,0.56,0.32,0.54,0.62,0.34,0.94,0.96,0.76,0.98,0.8,0.98,0.98,0.94,0.98,0.84,0.6,0.88,0.88,0.86,0.96,1,0.92,0.8,0.82,0.9,0.84,0.88,0.88,0.78,0.78,0.82,0.74,0.86
0.2,0.58,0.38,0.28,0.28,0.5,0.76,0.4,1,0.84,0.84,1,0.84,0.96,0.94,0.92,0.88,0.98,0.98,1,0.98,1,0.84,0.96,0.82,0.8,0.94,1,0.84,0.96,0.88,0.98,0.8,0.98,0.92,0.28
