,s__Prevotella_copri,s__Faecalibacterium_prausnitzii,s__Eubacterium_eligens,s__Alistipes_putredinis,s__Bacteroides_vulgatus,s__Odoribacter_splanchnicus,s__Bacteroides_caccae,s__Eubacterium_rectale,s__Dorea_longicatena,s__Alistipes_shahii,s__Ruminococcus_bromii,s__Parabacteroides_merdae,s__Eubacterium_siraeum,s__Akkermansia_muciniphila,s__Roseburia_inulinivorans,s__Bacteroides_stercoris,s__Faecalibacterium_cf,s__Ruminococcus_obeum,s__Bilophila_wadsworthia,s__Eubacterium_hallii,s__Bacteroides_xylanisolvens,s__Streptococcus_thermophilus,s__Coprococcus_comes,s__Bacteroides_ovatus,s__Roseburia_intestinalis,s__Ruminococcus_lactaris,s__Bacteroides_finegoldii,s__Collinsella_aerofaciens,s__Bacteroides_cellulosilyticus,s__Bacteroides_dorei,s__Dorea_formicigenerans,s__Bacteroides_uniformis,s__Clostridium_leptum,s__Coprococcus_catus,s__Bacteroides_intestinalis,s__Bacteroides_eggerthii,s__Streptococcus_salivarius,s__Clostridium_cf,s__Clostridium_bolteae,s__Ruminococcus_torques,s__Sutterella_wadsworthensis,s__Bifidobacterium_longum,s__Bifidobacterium_adolescentis,s__Clostridium_bartlettii,s__Anaerotruncus_colihominis,s__Bacteroides_fragilis,s__Lactococcus_lactis,s__Streptococcus_parasanguinis,s__Gordonibacter_pamelaeae,s__Eggerthella_lenta,s__Holdemania_filiformis,s__Dialister_invisus,s__Blautia_hydrogenotrophica,s__Eubacterium_ventriosum,s__Clostridium_hathewayi,s__Bacteroides_thetaiotaomicron,s__Bifidobacterium_bifidum,s__Bifidobacterium_catenulatum,s__Bifidobacterium_pseudocatenulatum,s__Haemophilus_parainfluenzae,s__Streptococcus_mitis,s__Streptococcus_australis,s__Parabacteroides_distasonis,s__Clostridium_asparagiforme,s__Escherichia_coli,s__Clostridium_nexile,s__Clostridium_symbiosum,s__Veillonella_parvula,s__Clostridium_scindens,s__Coprobacillus_bacterium,s__Ruminococcus_gnavus,s__Veillonella_dispar,s__Anaerostipes_caccae,s__Blautia_hansenii,s__Streptococcus_mutans,s__Actinomyces_odontolyticus,s__Streptococcus_vestibularis,s__Streptococcus_sanguinis,s__Streptococcus_anginosus,s__Streptococcus_infantis,s__Bifidobacterium_breve,s__Lactobacillus_casei,s__Veillonella_atypica,s__Rothia_mucilaginosa,s__Gemella_haemolysans,s__Lactobacillus_fermentum,s__Enterobacter_cloacae,s__Klebsiella_pneumoniae,s__Pediococcus_acidilactici,s__Bifidobacterium_dentium,s__Lactobacillus_gasseri,s__Clostridium_difficile,s__Lactobacillus_rhamnosus,s__Enterococcus_faecalis,s__Proteus_mirabilis,s__Enterococcus_gallinarum,s__Bacteroides_coprocola
4000,80.57056417,1.563171485,1.374201666,1.01091354,2.206368796,0.257380954,0.626433777,0.448707667,0.096234725,0.022895539,0.059585538,1.141083453,0.072318885,0,0.015743234,0.235679167,1.226309137,0.024415786,0.012325228,0.081838287,0.206396548,0.045178897,0.078032567,0.432995043,0.003795517,0,0.003734299,0.052861759,0,0.00217324,0.022211938,0.04879076,0.046219604,0.049688625,0,0.001091721,0.003724096,0,0,0.026017658,0.140026014,0.028854093,0.887406188,0.183725476,0.002611969,0.007499207,0,0.001826338,0,0,0,6.056869906,0,0.074369689,0,0.01318228,0.068931488,0,0.005744291,0.296080945,0.007601237,0,0,0,0.130588236,0,0,0.015192272,0,0,0.00020406,0.002877247,0,0,0,0,0,0,0,0,0,0,0.007325756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4001,0.21214651,0.693620373,0.000227647,1.51423685,0.216885712,0.506028719,0.254633759,30.86062237,0.4847644,0.889469412,4.466779856,0.012230864,0.051458618,1.109055848,0.017197712,0.032843285,1.232554463,0.069732481,0,0.542731659,0.002721419,4.116099666,0.232655455,0.013048325,0.00642586,0,0.007026021,0.261545956,0,0.016328514,0.08651629,0.098798892,0.065314056,0.008878241,0,1.111477186,0.088430596,0.00978883,0,0.012675811,0,2.330507335,0,0.01850151,0,0.028818068,0.005660138,0.198156554,0,0,0.003932088,47.17381155,0,0.029252667,0.001086498,0.128724153,0.344254329,0,0.004625378,0.022919936,0.025610312,0,0.005732571,0,0.006063694,0,0,0.204975623,0,0,0.014486641,0.024741113,0,0,0.003487141,0,0.053414315,0,0,0.028559378,0.000931284,0,0.036796068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4002,0.034507733,8.488551749,0.086906594,16.54714288,21.37926101,3.983731341,0.018161965,3.635451772,1.052262806,2.126606736,0.004652012,5.329405463,0,0,0.846395344,0.017158277,0.976587953,0.160590003,0.30805241,0.69248066,6.090853794,0.08717743,0.499485889,11.7532764,3.310543785,1.033447647,0.041342367,1.033830005,0.544046428,0.045612022,0.116491478,4.588684076,0.128519797,0.081298689,0.007424101,0.004237792,0.013525884,0,0.01225136,0.236742801,0,0.530217845,0.498322886,0.183913789,0.010212122,0.552649464,0,0.00020711,0.002310074,0.007471896,0.016138658,0.073874587,0,0.566255006,0.00978197,0.236089608,0,0.018958542,0.024024774,1.801443844,0.004779464,0.01091311,0.061256802,0.004285586,0,0,0,0.001672813,0,0,0.068521587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4004,0.086883184,5.130068896,0.005160948,0.077587695,0.054630874,0,26.87655389,4.592202719,0,2.45480412,13.41884026,0.019906513,0,0.435500151,0.204862162,0.009497879,1.349219222,0.124079595,0.011594062,5.463868016,0,0.030459712,0,0.025833652,14.96270095,0.350568586,0.003469545,0.831158362,0,0,0,0.01217232,0.253768287,0,0,0,0.332281194,0,0.091465874,0.022205087,0,2.080425783,0,0.217728391,0.281813774,3.356278589,0,0.097494208,0.103768301,0.184767715,0.028132226,13.53826489,0,0,0.429168232,0,0,0.028970699,1.224893868,0.155247672,0.040622587,0,0,0.038150536,0,0.080493439,0.167651295,0,0.238531203,0.164832289,0.221400326,0,0.005739205,0,0,0,0,0,0,0,0.053445446,0,0,0,0,0.030835579,0,0,0,0,0,0,0,0,0,0,0
4005,0.091188535,2.737508919,1.212741564,23.53221109,3.221579661,1.84655998,4.869620599,2.065334999,0.705525621,6.931406877,4.23249423,2.771132794,0.555620924,13.4580292,0.066148588,0.185904855,0.50694377,0.082751162,0.33751587,2.342784308,0.969983887,0.030881205,0.320578314,0.907593385,0.146910791,0,0.014016927,0.557704097,0,0.141425451,0.150166403,0.317573939,0.563273182,0.13145972,19.93973245,0.014665955,0,0,0.005349253,0.073842719,0,0.693476717,0.064494612,0.043170878,0,0,0,0,0,0,0,0,0,0.395572535,0.158090834,0.019240561,1.022262104,0.1671563,0.014864851,0,0.006898547,0,0.636864664,0,0.271597582,0.46063243,0.007516171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4006,0.052100741,5.923889265,0.62304289,0.251706395,4.008924605,0,2.201027219,33.83232525,2.085295928,3.377917483,0.005365027,0.00666463,0.180978014,0,1.099130699,0.019577349,2.121501528,0.546882836,2.009669044,2.010335507,1.027535917,0.087956448,1.96801511,3.328882472,1.242886758,1.563955284,0.006014828,3.886928562,0,0.718796954,0.218599848,0.008664018,0.313087633,0.262969619,0.031773621,10.29851875,0.056882613,0.024759099,0.00349893,2.899513715,0,2.96382739,0,0.84367545,0.013562521,0,0.12471188,0.069728686,0.023326203,0.190058572,0.055816272,2.854210896,0.024025989,0.242076005,0.003615562,0.147571559,1.107861364,0.466090865,0.28616253,0.007647662,0.14535557,0.009030573,0.000483186,0,0.365471621,1.295154115,0,0.058398816,0,0,0.242525868,0.015511925,0,0,0,0.00994696,0,0,0,0.021193522,0.001382911,0,0.0726278,0.031873591,0.001499542,0,0,0,0,0,0,0,0,0,0,0,0
4007,0.1392109,1.006500677,32.62363177,2.203309896,0.518773191,0.313817166,2.781967045,3.565678087,0.299300172,1.962295181,2.566952429,6.31969856,0.467719045,3.261267063,0.023205441,0.15133558,0.123660862,0.172605422,0.002936021,0.229140141,1.470141915,0.225801776,0.334695538,0.811287892,0.010025969,1.292295152,0.046465253,0.059046648,0,0.020987114,0.049325156,32.42524374,0,0.450266031,0.002261824,0.026489435,0.03341627,0,0,0.054142405,0.399788215,0.401734688,0,0,0,0.006078651,0,0,0,0,0,0,0,0.20926219,0,0.268656811,0,0.013331711,2.120361861,0.030197521,0,0,0.002990392,0,0,0,0,0,0,0.020443407,0.482257787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4009,0.031636716,2.487481293,0.054322893,15.97181406,2.160132505,2.571593419,0.01017837,19.20736542,1.556338256,3.605839791,26.26880216,2.368863688,0.024912336,0,1.797555309,4.802113888,1.59635176,1.072538619,0.03139574,1.686603038,0.823139854,0.173147049,0.409005253,0.245944774,0.412275643,0.628109882,0.016604399,0.984192199,0,0.007963686,0.55043526,1.994237688,0.338445163,0.228250245,0.002960563,0.022961578,0.015950321,0.009386592,0.005645725,0.858896114,0,1.52361141,1.594446901,0.065752044,0.102506633,0,0.07378458,0.000378677,0,0,0.01892236,0,0,0.261011517,0,0.233976296,0.133695823,0.628660685,0.093613468,0.098077263,0.050352525,0.00670143,0,0.003075314,0,0.002501561,0,0.012507806,0,0,0.01794698,0,0,0,0,0,0,0,0,0,0,0.041447885,0,0.001009805,0.002627787,0,0,0,0,0,0,0,0,0,0,0,0
4010,0.146384402,1.741704317,0.010143932,16.12103511,23.99151862,1.736259089,10.32303153,4.482542008,0.857030502,0.233508042,0.028060487,4.726325721,0,0,0.391419639,0.243234799,0,0.013481329,0,0.504100717,5.135047131,2.038381389,0.081832108,7.477087778,4.31767018,0.003710659,0.108926506,0.365401112,1.345893365,0.708560227,0.195918407,0.044308343,0.051114877,0,0.0259307,0.041827251,0.242246754,0.041212468,0.387533327,5.815612741,1.57178248,1.269572354,0.600775462,0.088770382,0.033308105,0.906301028,0.002063917,0.193349489,0,0.010670889,0,0,0,0,0.001515003,0.025381786,0,0,0,0.299048381,0,0,0,0.169043574,0.040905076,0.023471565,0,0.029663316,0.008541103,0.371900255,0.370275469,0.005664793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4011,0.152149703,1.258347168,0.740419164,19.43650753,2.785775291,3.382307385,5.855493369,1.710337726,1.260542356,4.480296757,10.82725316,5.134844532,9.438435477,5.208294702,0.609730491,10.65221079,0.438778527,0.026383159,0.359206373,0.024597013,2.112029848,0.132897495,0.14924551,1.548152879,0.263586168,0.005658404,0.003231426,0,0,0.090520824,0.012530296,0.033623189,0.135583533,0.044326435,0.00162253,0.095579301,0.106200738,0.024024355,0.209333666,0.099765156,0,0.520627676,1.127085838,0.932968505,0.031755234,0,0,0.041217721,0,0.001404375,0.033064166,6.519176398,0,0.4530677,0.373509181,0.038477145,0.154181274,0,0,0.034509445,0,0,0.001063507,0.071323156,0.521323047,0.189167934,0.072482106,0.02542873,0.008344441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4013,0.2160485,0.031983958,0.013757805,0.076628232,0.078235269,0,0.066123697,0.109278523,0.000901509,0.009838203,0.031004057,0.02998496,0,0,53.15428066,0.030572901,0,0.011680416,0,0.003135682,0.064242288,0.118763961,0,1.017646443,0.044957843,0.003566838,0.022616107,0,0,0.006153776,0,0.025281437,0.362876816,0,0.002351762,0.013522629,0.003802015,0.026418122,6.879725816,0.06796591,0,0.297497843,0,0.136127801,0.340064728,0,0.112453401,0,0,0.121860447,0.082782009,19.32426834,0,0,3.132703244,0,0,0,0,0.156627323,0,0.075844312,0,1.994411431,0,3.824591509,3.145285169,0,0.03531562,0.17845951,4.242891507,0,0.182457505,0.093012172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4014,95.89049253,0.892716257,0.49088968,0.484447258,0.323282983,0.312431497,0.303582246,0.285935613,0.07909343,0.074196775,0.074155278,0.071955933,0.067816599,0.066976283,0.063262295,0.053396365,0.044796095,0.042731616,0.042254399,0.041455581,0.039463721,0.038986504,0.035386633,0.032160235,0.025427334,0.02271965,0.019213147,0.018331334,0.017822995,0.009855556,0.009035989,0.007863696,0.007189369,0.005819965,0.002718059,0.00114117,0.000570585,0.000228234,0.000197111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4017,19.77965758,1.512865181,0.52853159,11.54770994,8.852370644,1.844821147,5.495505068,23.37972845,3.050998587,0.844827603,0.016338441,4.649243885,0.273682559,0.240732093,1.45024726,0.011873549,0.722207224,0.193205069,0.450680508,1.441142382,1.048658678,0.019938807,2.129786312,0.018702207,0.623202621,2.421952211,0.004486779,0.325160137,0.009323745,1.28037344,0.17732625,0.401654242,0.060319815,0.1626512,0.286234596,0.000623772,0.043357603,0.003622253,0,2.303337102,1.754680668,0.242701899,0.242548692,0.031976506,0.01991692,0.019128998,0.017553154,0.014248258,0.013099205,0.012376943,0.009575442,0.008207522,0.006905262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4018,0.09688143,1.41131538,19.59117892,0.065734345,0.038449027,0.002563268,5.662782809,4.27278303,0.002192269,0.297153642,0.013254796,9.06316079,0.102429557,0.006391308,6.534648223,29.84027296,1.473103641,0.049511554,0.147219301,0.24713618,0.361252217,0.020539875,0,0.009477348,14.87933498,0,0,0.044368153,0,0.007419988,0.231048298,0.005952854,0.005075946,0.092480028,0,0.356580998,0.231250661,0,0.052091686,1.120772272,0,0.087218582,0.181115153,0.435721912,0,0.039191026,0,0.028988543,0,0,0.079191505,0.006054035,0,0,0.009932665,0.084486678,0,0,0,1.968978043,0.055852271,0.01939315,0,0.020506148,0.426480654,0,0.00145027,0.047369876,0.060439172,0.092092165,0.01163589,0,0,0.008094532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4019,0.017917791,1.175798689,0.948325802,6.54877472,8.092635693,1.619400483,4.02530894,1.432545212,0.292249855,5.760866547,0.005992374,14.32226014,0,0.703753884,0.016363334,22.40836948,0.969767821,0.607163936,0.60305827,1.620634556,1.037772365,0.358415156,0.210955294,0.671323868,0.501733754,0,0.703148714,2.763813371,0,0.013930786,0.401026274,1.064696517,0.419086458,0.645443933,1.992375327,0.228944281,0.274972833,0.037520567,0.640543239,2.492661419,0,5.257756327,0.00327504,0.596935369,0.875337501,0.029760146,0.186819673,0.133078165,0.063008922,0.012400061,0.085507022,0,0,0,0.350868325,0.031670586,0,0.000937421,4.684434471,0,0.029131243,0.034530313,0.047583009,0.498126464,0.136400669,0,0.886242435,0.006906063,0.203183007,0.022640494,0.010406558,0,0.004615908,0,0.079823167,0.035301609,0.024539068,0.013966384,0.008353725,0.005268543,0.004960024,0.003168245,0.00300212,0.000510242,0,0,0,0,0,0,0,0,0,0,0,0,0
4020,0.066594371,11.56622752,10.95611703,0.054984111,0.161347955,0,0.020413263,18.35244174,0,0.001005067,0.525355595,8.181403552,0,0.015595871,5.745415074,0.107646171,2.946579981,0.053909729,0.438382618,0.774837552,0.04505474,1.227481728,0,1.376352985,14.27921601,2.454045032,0.006827526,0.194601818,0,0.474911615,0.889467207,5.344878437,0,0,0,0,0.425697976,0.012459368,0.410327378,2.2977744,0,0.445192815,0,0.460026222,0.042524743,0.14414051,0,0.314880645,0,0.137382299,0,4.803303136,0.012597998,0,0.013759024,0,0,0,0.295472449,0.694380184,0.11525349,0,0,0,0.16942315,0.69940552,0.263466255,0.079088397,0.304500726,0.03358311,1.445771942,0,0.014018956,0,0,0,0,0.00746869,0,0,0.037551393,0,0,0,0.017709978,0,0.026616954,0.015127995,0,0,0,0,0,0,0,0,0
4021,0.097054804,0.01215732,0.000701819,31.34609829,53.01868288,0,0.021733756,0.048493443,0,0.645492555,0.006271094,0.031423389,0,0,0.008625584,0.085780418,0,0.007448339,0.95311576,0.077652899,1.215777258,0.176541489,0,1.858983241,0,0,0.270494706,0.098933869,0,2.071883493,0,0.263318038,0.259967417,0,0,0,0,0.076769965,1.599151659,4.423838127,0,0,0,0,0.032125208,0.002761998,0,0.018337857,0,0,0.118358413,0,0.048810394,0,0.035158878,0.034230666,0,0,0,0,0,0,0,0.398135244,0,0,0.061805369,0,0.079871554,0.04960277,0.376175094,0,0.041271497,0.026963441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4022,0.038055565,0.081792584,0,9.965051071,46.85965299,0.785885933,0.00941581,0.031836481,0,0.494911249,0.005536148,0.587950495,0,0,0.002426605,28.57131648,0,0.035934102,0,0.114457308,1.334879967,0.079830957,0.398021401,7.939998041,0,0,0.017480277,0,0,0.446015877,0,0.049185983,0.339550383,0,0.001961627,0.073975137,0.008761934,0,0.272913185,0.785130344,0,0.065038836,0,0,0.004998516,0.028610694,0,0.003719826,0,0,0.04683203,0,0,0,0,0,0,0,0.056654696,0,0,0,0.015998159,0.007323408,0,0.003487337,0,0,0,0.058107753,0.309820835,0,0.005754106,0.061725866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4023,0.069063579,5.527523868,0.237253707,29.87349177,11.32790981,4.196343693,1.214015844,11.14901483,0.210054845,1.176152752,5.125756652,2.393195206,0,0.310298598,11.78864514,4.445724152,0.35342271,0.213061142,0.196140565,0.172008938,0.388990453,0,0.314523664,1.899248426,0.092707699,0.774426163,0.018992484,0.280479382,0.833902092,0.176904327,0.058379037,0.026995734,0.028762949,0.160613447,2.417245582,0.01484867,0.014808044,0.021226894,0,0.016758074,0,0.072496445,0,0.090879545,0.020251879,0,0,0.008368881,0,0,0.036116189,0,0,2.045703839,0.021308145,0.157769653,0,0,0,0.007881373,0,0,0,0.014076782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006256348,0,0,0,0,0,0,0,0
4024,0.06521845,3.158400478,0.032574349,38.09672615,13.74553812,2.403135954,5.754136628,3.423152508,0.453418193,0.204137235,0.0103652,0.021567427,0.314429655,0.040958581,2.46913563,0.065664865,0.751107284,0.567407488,0.027384774,0.552619989,3.726435737,0,0.556051805,4.243677333,1.686304977,0.616806104,0.048728994,0.392189578,0,0.196534229,0.292945931,9.323657473,0.056415703,0,0,0,0.513893483,0.002455283,0,0.645934686,0,0.462472048,0.117393209,0.366534663,0.004589705,0.229959556,0.000781226,0.141973939,0,0,0.15120915,0,0,3.055097244,0,0.082893696,0.29916784,0.068747919,0.067771386,0,0.082238024,0.031807073,0,0,0,0,0,0.011313832,0,0,0.303325081,0,0,0,0,0,0.063614146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
