id_2v,X1,X2,mid
10042055_t1,0.055388895,0.141622797,10042055_t1
10042055_t2,0.013685566,0.17274128,10042055_t2
10057608_t1,-0.133348888,0.040738019,10057608_t1
10057608_t2,-0.132052576,-0.204515453,10057608_t2
10083403_t1,0.226867704,-0.188227411,10083403_t1
10230266_t2,-0.12360679,0.055844083,10230266_t2
10240582_t2,0.233910614,0.093326225,10240582_t2
10280204_t2,-0.197528716,-0.097849527,10280204_t2
10285435_t2,0.184524363,0.099714324,10285435_t2
10304173_t2,0.235073231,0.054367145,10304173_t2
10306807_t1,0.030576247,0.132714183,10306807_t1
10306807_t2,-0.018497802,0.117556344,10306807_t2
10342712_t2,0.211813732,-0.20472301,10342712_t2
10391948_t1,-0.071295677,-0.057032443,10391948_t1
10391948_t2,0.024773367,0.093594989,10391948_t2
10502288_t2,0.041467773,-0.035577997,10502288_t2
10536335_t1,-0.186545378,-0.057027783,10536335_t1
10540312_t1,0.081159789,0.12104757,10540312_t1
10549563_t2,0.0006554,0.082016597,10549563_t2
10551221_t2,-0.102691506,-0.182849474,10551221_t2
10585880_t1,0.273932844,0.093772139,10585880_t1
10585880_t2,0.193412766,0.156722553,10585880_t2
10598702_t1,-0.089883037,-0.013189669,10598702_t1
10598702_t2,-0.071794432,-0.038518461,10598702_t2
10626339_t1,0.201764116,-0.135717537,10626339_t1
10626339_t2,0.232749641,-0.02943312,10626339_t2
10650433_t1,0.303206731,0.0264476,10650433_t1
10650433_t2,0.298894529,-0.237314855,10650433_t2
10681665_t1,-0.008886292,-0.086379635,10681665_t1
10713431_t1,0.320516855,-0.156088072,10713431_t1
10713431_t2,0.266542239,-0.028352752,10713431_t2
10797719_t2,-0.005913367,-0.147707383,10797719_t2
10807867_t1,0.133274925,0.193217074,10807867_t1
11026074_t1,0.167108565,0.193294968,11026074_t1
11043800_t2,0.28220359,-0.010770964,11043800_t2
11078743_t2,-0.082778385,-0.006792987,11078743_t2
11188967_t1,-0.166734642,-0.064036627,11188967_t1
11188967_t2,-0.162420255,-0.138214846,11188967_t2
11242817_t2,-0.06176401,-0.140114143,11242817_t2
11275441_t1,-0.008387643,-0.000654071,11275441_t1
11275441_t2,-0.01926852,0.018395855,11275441_t2
11287767_t1,0.376113529,-0.250882495,11287767_t1
11287767_t2,0.31976524,-0.248512917,11287767_t2
11294862_t2,0.145243172,0.189211482,11294862_t2
11418230_t1,0.005432557,0.184243887,11418230_t1
11418230_t2,0.000258551,0.162559244,11418230_t2
11486372_t1,0.065535597,0.130477436,11486372_t1
11486372_t2,0.082137867,0.166876774,11486372_t2
11507229_t1,-0.145948309,-0.150320031,11507229_t1
11507229_t2,0.008537766,-0.034384819,11507229_t2
11526341_t2,0.034885168,-0.05711608,11526341_t2
11576479_t1,-0.029655917,-0.149361664,11576479_t1
11608039_t2,0.00123749,-0.0469752,11608039_t2
11715866_t1,0.058915417,-0.013407946,11715866_t1
11715866_t2,0.141711514,0.117616223,11715866_t2
11765695_t1,0.338108146,-0.235506633,11765695_t1
11765695_t2,0.27570018,-0.34247406,11765695_t2
11837804_t1,-0.080957684,0.008183334,11837804_t1
11919084_t1,0.035450496,0.021534598,11919084_t1
11919084_t2,-0.028844087,-0.028696434,11919084_t2
11925792_t1,-0.145577703,0.148789434,11925792_t1
11949935_t1,-0.119861618,-0.121998293,11949935_t1
11971292_t1,0.051134829,0.155528018,11971292_t1
11971292_t2,0.029817356,0.185917884,11971292_t2
11992832_t1,0.093606102,0.036318305,11992832_t1
11992832_t2,0.092649675,0.060173268,11992832_t2
12016910_t2,0.264159075,0.098347474,12016910_t2
12085645_t1,-0.08621267,-0.06651493,12085645_t1
12085645_t2,-0.084565816,-0.173581467,12085645_t2
12112483_t1,-0.180867689,-0.178821696,12112483_t1
12112483_t2,-0.086063173,0.015747274,12112483_t2
12214819_t2,-0.059474951,0.091094449,12214819_t2
12289378_t1,-0.088084184,-0.032549012,12289378_t1
12289378_t2,-0.109216518,-0.206456095,12289378_t2
12293355_t1,-0.138318642,-0.025015601,12293355_t1
12293355_t2,-0.196217917,-0.01902327,12293355_t2
12294978_t1,0.070506615,0.00697693,12294978_t1
12294978_t2,0.121422506,0.072723128,12294978_t2
12383462_t1,0.113629437,-0.137004611,12383462_t1
12383462_t2,0.049192358,-0.044692267,12383462_t2
12430629_t2,-0.214481614,-0.012507083,12430629_t2
12516553_t1,0.006631372,-0.124743469,12516553_t1
12542142_t1,-0.156398302,-0.173361611,12542142_t1
12542142_t2,-0.171226928,-0.154994079,12542142_t2
12656695_t1,-0.101775299,0.19195615,12656695_t1
12656695_t2,-0.143814996,0.160940206,12656695_t2
12678519_t2,0.055321562,0.014208466,12678519_t2
12780703_t1,0.315618064,-0.306018027,12780703_t1
12780703_t2,0.353614255,-0.270444623,12780703_t2
12815993_t2,0.085325772,0.047542592,12815993_t2
12956425_t2,-0.199855242,-0.132510976,12956425_t2
13092959_t1,-0.008422441,0.080730152,13092959_t1
13092959_t2,0.031454141,0.124797503,13092959_t2
13098268_t2,-0.120481151,-0.011017861,13098268_t2
13111491_t1,0.122628847,-0.105609417,13111491_t1
13111491_t2,0.261749535,-0.100539834,13111491_t2
13241014_t1,0.383926601,0.046491681,13241014_t1
13241014_t2,0.26231254,0.09802279,13241014_t2
13448277_t2,-0.002636942,0.085290253,13448277_t2
13512031_t1,-0.167734123,-0.198812816,13512031_t1
13512031_t2,-0.147378338,-0.069165252,13512031_t2
13515870_t1,-0.014316319,0.033850087,13515870_t1
13530241_t1,-0.061443422,-0.023295063,13530241_t1
13530241_t2,-0.026095143,0.15121955,13530241_t2
13551775_t1,0.160379686,0.089833084,13551775_t1
13551775_t2,0.095006044,0.030622073,13551775_t2
13572279_t1,-0.192553694,-0.130777352,13572279_t1
13572279_t2,-0.166480069,-0.156937033,13572279_t2
13750586_t1,-0.085708061,-0.119363339,13750586_t1
13750586_t2,-0.12534472,0.081899184,13750586_t2
13787854_t2,0.300420036,-0.315312932,13787854_t2
13948544_t1,-0.119455396,0.198178894,13948544_t1
13980738_t2,-0.017509919,-0.061309088,13980738_t2
14040721_t1,-0.07384164,0.120941116,14040721_t1
14040721_t2,-0.068513794,-0.110595864,14040721_t2
14056552_t1,0.12979365,0.027983945,14056552_t1
14056552_t2,0.164390194,-0.012101564,14056552_t2
14093668_t2,0.095284868,0.113007647,14093668_t2
14143026_t2,0.162323858,0.051644357,14143026_t2
14175675_t1,-0.032643453,-0.060653393,14175675_t1
14175675_t2,-0.042519329,0.140949079,14175675_t2
14315964_t1,0.039987865,0.218232291,14315964_t1
14315964_t2,0.060359984,0.286101743,14315964_t2
14390583_t1,0.009252743,-0.157669909,14390583_t1
14390583_t2,0.006720438,-0.086997689,14390583_t2
14494311_t1,0.230778604,-0.300580316,14494311_t1
14494311_t2,0.324806979,-0.217115737,14494311_t2
14561280_t1,-0.042980455,-0.046825302,14561280_t1
14561280_t2,-0.048684154,-0.102992864,14561280_t2
14581506_t1,-0.139289799,-0.187338661,14581506_t1
14583928_t1,-0.222641448,-0.080562825,14583928_t1
14590405_t1,-0.140512097,0.058846614,14590405_t1
14590405_t2,0.010700694,0.050184448,14590405_t2
14804704_t2,-0.177315563,0.123230515,14804704_t2
14835627_t1,0.107825177,0.223308443,14835627_t1
14911186_t1,-0.122753077,-0.073022625,14911186_t1
14948866_t2,-0.080819958,0.108100397,14948866_t2
14952019_t1,0.021534358,0.245327894,14952019_t1
14952019_t2,0.048919854,0.259995661,14952019_t2
15066469_t1,-0.123545937,0.078876062,15066469_t1
15066469_t2,-0.17213016,0.105590399,15066469_t2
15074981_t1,0.041343777,0.014890468,15074981_t1
15074981_t2,0.005558474,0.011068395,15074981_t2
15127457_t1,-0.100695649,0.135561849,15127457_t1
15401240_t1,0.000967523,0.10449811,15401240_t1
15487950_t1,-0.128916539,-0.051557437,15487950_t1
15487950_t2,0.023401929,0.020629896,15487950_t2
15586956_t1,0.105102406,-0.178462905,15586956_t1
15586956_t2,0.165091655,-0.020115411,15586956_t2
15673945_t1,-0.032563838,0.246455209,15673945_t1
15717213_t1,0.096697115,0.06216368,15717213_t1
15717213_t2,0.008830118,-0.153910707,15717213_t2
15717522_t2,-0.075081653,0.020892006,15717522_t2
15721911_t2,-0.212529457,-0.100093847,15721911_t2
15752525_t2,-0.042919856,0.094263547,15752525_t2
15785561_t1,-0.144486753,0.035330229,15785561_t1
15785561_t2,-0.148070776,0.063603935,15785561_t2
15892873_t2,0.292605364,-0.184573403,15892873_t2
16020939_t1,-0.053044162,0.082799197,16020939_t1
16020939_t2,-0.073487486,0.072882493,16020939_t2
16041443_t2,0.121173948,0.120610358,16041443_t2
16063055_t2,-0.051567102,0.200575898,16063055_t2
16068286_t1,-0.200634793,-0.004685699,16068286_t1
16068286_t2,-0.140198885,0.239000999,16068286_t2
16097411_t2,-0.078169726,-0.131803801,16097411_t2
16204040_t1,-0.054089048,0.172248572,16204040_t1
16240769_t1,-0.013799007,0.028427018,16240769_t1
16240769_t2,-0.157942412,-0.045106396,16240769_t2
16396439_t1,0.018805802,0.09294495,16396439_t1
16485541_t1,-0.067791946,-0.005247671,16485541_t1
16485541_t2,-0.088040311,-0.035552557,16485541_t2
16545524_t1,0.098823199,-0.088091599,16545524_t1
16545524_t2,-0.115919998,-0.026441871,16545524_t2
16577761_t1,-0.203176573,-0.020723166,16577761_t1
16662328_t1,-0.041733081,0.102597396,16662328_t1
16662328_t2,-0.199192742,0.021407762,16662328_t2
16846459_t2,-0.177161309,-0.265971553,16846459_t2
16853657_t1,-0.1283333,0.114171897,16853657_t1
16853657_t2,-0.144032061,-0.009382157,16853657_t2
16863149_t1,-0.042900211,-0.052517561,16863149_t1
16863149_t2,-0.029571164,-0.062149096,16863149_t2
16913125_t1,-0.153722231,-0.04699983,16913125_t1
16913125_t2,-0.149654894,-0.081557364,16913125_t2
16935973_t1,0.327377675,-0.150799264,16935973_t1
16935973_t2,0.291974876,-0.27057238,16935973_t2
16960763_t2,-0.131156749,0.050421382,16960763_t2
16969917_t2,0.31283819,-0.192367871,16969917_t2
17086721_t1,0.043987334,0.159271832,17086721_t1
17086721_t2,-0.030389201,0.144739984,17086721_t2
17090904_t2,-0.144199031,0.030863297,17090904_t2
17101027_t2,0.018275636,-0.055540734,17101027_t2
17143477_t1,-0.182207369,-0.108902881,17143477_t1
17143477_t2,-0.180863239,-0.082579262,17143477_t2
17208485_t2,-0.113052855,0.107319796,17208485_t2
17230157_t2,-0.081398143,-0.002221581,17230157_t2
17259943_t2,0.009583456,0.01890692,17259943_t2
17353203_t2,-0.193906716,0.06869287,17353203_t2
17404802_t1,-0.184113121,-0.187059071,17404802_t1
17404802_t2,-0.183279759,-0.163955822,17404802_t2
17437941_t1,-0.018819842,0.320706638,17437941_t1
17437941_t2,-0.09399433,0.223156033,17437941_t2
17453111_t2,0.076435827,0.072534937,17453111_t2
17671755_t2,0.051256943,0.290309956,17671755_t2
17675569_t1,0.118466842,0.118721626,17675569_t1
17675569_t2,-0.015402401,-0.075616174,17675569_t2
17838578_t2,0.273689765,-0.145565287,17838578_t2
17841344_t2,-0.112428889,-0.06259213,17841344_t2
17885707_t2,0.028952725,0.216991927,17885707_t2
17907460_t1,0.078859044,0.005116442,17907460_t1
17907460_t2,0.122101192,0.042536865,17907460_t2
17997838_t2,0.043795666,0.090222336,17997838_t2
18033060_t1,0.343544623,-0.127847217,18033060_t1
18075722_t1,-0.109174171,0.006314012,18075722_t1
18075722_t2,-0.046751921,0.130582058,18075722_t2
18131061_t1,-0.018026755,-0.276088999,18131061_t1
18131061_t2,0.105783185,-0.30230037,18131061_t2
18168329_t1,-0.091393944,0.107863048,18168329_t1
18184323_t1,-0.185922952,-0.007591382,18184323_t1
18184323_t2,-0.204060316,-0.074113203,18184323_t2
18197551_t1,-0.139462845,-0.125466788,18197551_t1
18293645_t1,-0.04061037,0.029723248,18293645_t1
18346018_t1,0.03701646,-0.01561881,18346018_t1
18346018_t2,0.162407309,-0.158394505,18346018_t2
18425216_t1,-0.053837117,-0.122066731,18425216_t1
18425216_t2,0.055321256,0.020404123,18425216_t2
18445642_t2,0.155739343,0.163423374,18445642_t2
18552130_t1,-0.069973476,-0.058036443,18552130_t1
18552130_t2,-0.104056696,-0.054047329,18552130_t2
18628150_t1,-0.187727236,0.066945239,18628150_t1
18628150_t2,-0.184422559,0.092602205,18628150_t2
18706034_t1,-0.161230937,-0.037065506,18706034_t1
18706034_t2,-0.114050686,0.077094655,18706034_t2
18746474_t2,-0.14689668,0.018562272,18746474_t2
18747685_t2,0.186451814,-0.21629667,18747685_t2
18754574_t1,-0.006639758,0.265392646,18754574_t1
18754574_t2,-0.012068753,0.261789671,18754574_t2
18817057_t1,-0.134523105,-0.192309772,18817057_t1
18912764_t1,-0.090405257,0.012926222,18912764_t1
18912764_t2,-0.188670196,-0.227794558,18912764_t2
19061811_t1,-0.036567933,-0.114207935,19061811_t1
19061811_t2,-0.030676781,-0.066453476,19061811_t2
19113791_t1,0.09320011,0.104974169,19113791_t1
19113791_t2,0.065739107,0.098426895,19113791_t2
19123701_t1,-0.105926392,0.093813136,19123701_t1
19123701_t2,-0.104946683,0.028316806,19123701_t2
19145210_t1,-0.113101883,0.025403168,19145210_t1
19145210_t2,-0.195060551,-0.205391887,19145210_t2
19251414_t1,0.023841062,-0.020624582,19251414_t1
19251414_t2,-0.02305582,-0.009569961,19251414_t2
19258449_t2,0.058513643,0.230292376,19258449_t2
19272639_t1,-0.005750581,0.046387128,19272639_t1
19272639_t2,0.001538607,0.14932546,19272639_t2
19383868_t1,0.005783602,0.010867358,19383868_t1
19383868_t2,-0.017208002,0.064669146,19383868_t2
19400493_t2,0.373838783,0.017858908,19400493_t2
19401504_t1,-0.091485061,0.038704593,19401504_t1
19401504_t2,-0.094268546,0.069317121,19401504_t2
19412825_t1,-0.193531025,-0.101818195,19412825_t1
19464870_t2,-0.081649064,-0.079742351,19464870_t2
19498608_t1,-0.108885903,-0.03706258,19498608_t1
19498608_t2,-0.053710246,0.070099294,19498608_t2
19517140_t1,-0.123064666,0.04605622,19517140_t1
19517140_t2,-0.167816568,0.050281703,19517140_t2
19702233_t1,0.004001422,-0.095406889,19702233_t1
19702233_t2,0.025426811,-0.016675192,19702233_t2
19745900_t1,0.008389093,0.051198168,19745900_t1
19745900_t2,0.055201599,0.201513918,19745900_t2
19831054_t1,0.006785227,0.089277739,19831054_t1
19831054_t2,-0.109500622,-0.187387169,19831054_t2
19919818_t1,-0.031664199,0.194625787,19919818_t1
19919818_t2,0.112253891,0.199091312,19919818_t2
19966838_t1,0.315332392,-0.163396902,19966838_t1
19966838_t2,0.265861575,-0.33235812,19966838_t2
20006270_t2,-0.260459951,-0.23877127,20006270_t2
20029305_t2,-0.176503899,-0.059014792,20029305_t2
20037920_t1,-0.250925555,-0.129129899,20037920_t1
20037920_t2,-0.206644323,0.013994969,20037920_t2
20069333_t1,-0.012732553,-0.066052424,20069333_t1
20069333_t2,-0.059907437,-0.176424294,20069333_t2
20127924_t1,0.052347929,0.210095979,20127924_t1
20127924_t2,0.016318446,0.190585217,20127924_t2
20192124_t2,-0.000519895,0.04752852,20192124_t2
20192639_t1,-0.00182861,-0.00778057,20192639_t1
20192639_t2,-0.057885456,-0.178491015,20192639_t2
20208617_t2,-0.085291117,-0.119534893,20208617_t2
20215088_t1,0.054589076,0.15039295,20215088_t1
20215088_t2,0.161008607,0.223712887,20215088_t2
20269046_t1,0.282980257,-0.162847,20269046_t1
20269046_t2,0.131855032,-0.016815585,20269046_t2
30026822_t1,-0.108902592,-0.052167154,30026822_t1
30095454_t1,0.028283598,0.152775958,30095454_t1
30095454_t2,-0.010958873,0.119865319,30095454_t2
30144631_t2,0.121139412,0.12112727,30144631_t2
30201181_t1,-0.061355215,0.110665968,30201181_t1
30293054_t1,-0.044398142,-0.032761121,30293054_t1
30293054_t2,0.008982017,0.153246251,30293054_t2
30374571_t1,-0.094191579,0.118067932,30374571_t1
30399513_t1,0.080765672,0.0169143,30399513_t1
30538791_t1,0.111935743,0.0953859,30538791_t1
30538791_t2,0.073769388,-0.044376539,30538791_t2
30575913_t1,-0.052666166,0.065100413,30575913_t1
30575913_t2,-0.043843594,0.000388859,30575913_t2
30589734_t1,0.073501547,0.155221967,30589734_t1
30594510_t2,0.103622744,-0.077619974,30594510_t2
30629079_t1,-0.049161904,-0.066806644,30629079_t1
30629079_t2,-0.031999404,-0.118856667,30629079_t2
30733891_t1,0.118041098,-0.146182813,30733891_t1
30733891_t2,0.17357215,-0.244500889,30733891_t2
30756617_t1,-0.211355222,-0.233663188,30756617_t1
30756617_t2,-0.053561611,-0.19971354,30756617_t2
30820571_t2,-0.09339412,-0.05706918,30820571_t2
30826086_t1,0.278115875,-0.112262925,30826086_t1
30826086_t2,0.311917774,-0.105185163,30826086_t2
30843812_t2,-0.14201952,-0.20877236,30843812_t2
30920067_t2,0.351696456,-0.128534824,30920067_t2
30931909_t2,0.065796068,0.07691224,30931909_t2
30960822_t1,0.083487755,0.089099303,30960822_t1
30969970_t1,-0.19578777,-0.170697244,30969970_t1
30969970_t2,-0.172245232,0.023124964,30969970_t2
30973226_t2,-0.1278893,0.091763499,30973226_t2
40006207_t1,0.358486881,-0.193398422,40006207_t1
40006207_t2,0.213101359,-0.124867439,40006207_t2
40048760_t1,0.35148042,-0.093640017,40048760_t1
40048760_t2,0.318378466,0.103821526,40048760_t2
40053948_t2,0.122892545,0.2615019,40053948_t2
40067975_t1,0.023768688,-0.02421394,40067975_t1
40164662_t1,0.020176682,-0.018425155,40164662_t1
40164662_t2,-0.003164013,-0.050902777,40164662_t2
40179385_t1,-0.173133114,-0.003676935,40179385_t1
40179385_t2,-0.124998764,-0.025862047,40179385_t2
40262354_t1,0.280067489,0.00670447,40262354_t1
40262354_t2,-0.043591346,-0.10090409,40262354_t2
40279396_t2,-0.037413667,-0.057583493,40279396_t2
40322749_t1,-0.098901257,-0.015234966,40322749_t1
40322749_t2,-0.048605757,-0.010121689,40322749_t2
40344567_t2,-0.108074801,0.096372028,40344567_t2
40382585_t1,-0.184139335,-0.0910756,40382585_t1
40406457_t2,0.054176305,0.071525553,40406457_t2
40476924_t1,-0.085616089,-0.043084554,40476924_t1
40476924_t2,-0.061242471,0.051025212,40476924_t2
40531258_t1,-0.206898971,-0.123979682,40531258_t1
40531258_t2,-0.212009033,-0.037341071,40531258_t2
40550164_t1,-0.006204213,-0.083785446,40550164_t1
40550164_t2,0.030756384,-0.038086578,40550164_t2
40572400_t2,-0.146468993,-0.070585427,40572400_t2
40647106_t2,-0.01016687,-0.006832716,40647106_t2
40700151_t1,0.038354935,0.202012764,40700151_t1
40700151_t2,0.00984902,0.17173019,40700151_t2
40741705_t1,-0.125210459,0.033179375,40741705_t1
40741705_t2,-0.070318096,0.225397661,40741705_t2
40792230_t1,-0.061711776,0.024131633,40792230_t1
40908322_t1,-0.167039527,-0.012828015,40908322_t1
40908322_t2,-0.232590204,-0.190356997,40908322_t2
40913201_t1,0.159879756,-0.420295851,40913201_t1
40913201_t2,0.077434374,-0.374092884,40913201_t2
40930194_t1,0.191477731,0.050437689,40930194_t1
40930194_t2,0.173662435,0.09255979,40930194_t2
50144974_t1,-0.004906988,0.145568809,50144974_t1
50144974_t2,-0.071601642,0.164734536,50144974_t2
50176181_t1,-0.04226571,0.043207848,50176181_t1
50176181_t2,-0.059885577,-0.224030501,50176181_t2
50211022_t1,0.048847168,0.089088065,50211022_t1
50211022_t2,-0.025045986,0.088383025,50211022_t2
50241352_t2,0.076397956,0.105679493,50241352_t2
50253678_t1,-0.114701555,-0.019023517,50253678_t1
50253678_t2,-0.069074769,0.038134873,50253678_t2
50279110_t2,-0.000676656,0.055602972,50279110_t2
50304865_t1,0.14598976,0.174618477,50304865_t1
50340152_t2,-0.201540539,0.103649866,50340152_t2
50466110_t1,0.285276237,0.106692144,50466110_t1
50466110_t2,0.310948951,0.086964777,50466110_t2
50492523_t1,-0.232817239,-0.047003493,50492523_t1
50492523_t2,-0.14935866,0.016448536,50492523_t2
50507078_t2,0.156488881,-0.133181812,50507078_t2
50530888_t1,-0.115903093,-0.115166941,50530888_t1
50530888_t2,-0.172833854,-0.208191953,50530888_t2
50635518_t1,-0.156002372,-0.129705076,50635518_t1
50635518_t2,-0.178475152,-0.053319225,50635518_t2
50682950_t1,-0.055633832,0.133117469,50682950_t1
50682950_t2,-0.066985751,-0.090210279,50682950_t2
50694555_t1,-0.016615518,-0.170066142,50694555_t1
50694555_t2,0.039580752,-0.129028197,50694555_t2
50708626_t1,-0.238684608,-0.161596181,50708626_t1
50708626_t2,-0.190172779,-0.089839504,50708626_t2
50724929_t1,0.296265842,-0.105558775,50724929_t1
50724929_t2,0.366031781,-0.071223021,50724929_t2
50745639_t1,0.025121678,0.190097346,50745639_t1
50745639_t2,-0.103691357,-0.026530019,50745639_t2
50747443_t1,0.004127354,0.108051443,50747443_t1
50850323_t1,0.090753541,0.12961472,50850323_t1
51006340_t1,0.182430116,0.295801683,51006340_t1
51006340_t2,0.180480582,0.302084321,51006340_t2
60097006_t1,-0.233746292,0.0261684,60097006_t1
60097006_t2,-0.22221408,0.02519198,60097006_t2
60101845_t2,0.268830508,-0.02860201,60101845_t2
60148502_t1,-0.044178299,-0.066333663,60148502_t1
60148502_t2,0.054865831,0.061760832,60148502_t2
60187319_t2,0.05781761,0.070668019,60187319_t2
60200027_t1,-0.039644947,-0.020500169,60200027_t1
60200027_t2,-0.143438723,-0.159796242,60200027_t2
60238506_t1,0.069595058,0.118463753,60238506_t1
60238506_t2,0.099786887,0.061517141,60238506_t2
60338620_t1,-0.033310497,0.111590898,60338620_t1
60338620_t2,-0.031195127,0.198334849,60338620_t2
60478041_t2,0.084309501,0.03430237,60478041_t2
60514917_t2,-0.023451971,0.013611571,60514917_t2
70005253_t1,-0.105545005,-0.120944173,70005253_t1
70005253_t2,-0.112558467,-0.109380291,70005253_t2
70053072_t1,0.121232664,0.037396332,70053072_t1
70053072_t2,0.140648552,0.108301556,70053072_t2
70059005_t1,0.134993887,0.164873675,70059005_t1
70059005_t2,0.092946715,0.218975962,70059005_t2
70111148_t2,-0.028216503,-0.143497168,70111148_t2
70234503_t2,0.371456578,-0.122899929,70234503_t2
70312587_t1,0.173478652,0.179576444,70312587_t1
70312587_t2,0.166603917,0.148983195,70312587_t2
70324089_t1,-0.144081141,-0.084401561,70324089_t1
70488374_t1,0.024142691,0.187438192,70488374_t1
70488374_t2,0.008847186,0.088206243,70488374_t2
70510290_t2,0.029518155,0.039615232,70510290_t2
70572554_t1,0.044223285,0.175701353,70572554_t1
70572554_t2,0.024060855,0.236356265,70572554_t2
70596794_t2,-0.017141474,-0.129863296,70596794_t2
70608855_t1,0.137230531,0.118552268,70608855_t1
70608855_t2,0.048543982,-0.048635533,70608855_t2
70615435_t2,-0.168625913,-0.101234336,70615435_t2
70616749_t1,-0.246192435,0.081529013,70616749_t1
70616749_t2,-0.184001358,0.032611509,70616749_t2
70636351_t1,-0.108583145,-0.021179181,70636351_t1
70636351_t2,-0.233793853,-0.165189644,70636351_t2
70802023_t1,0.063378299,0.268861234,70802023_t1
70802023_t2,-0.030454233,0.128059305,70802023_t2
70838280_t1,0.007950653,0.141880558,70838280_t1
70863791_t1,0.163942976,-0.119396881,70863791_t1
70863791_t2,0.149977613,-0.400330901,70863791_t2
70995736_t1,-0.059922614,-0.145389617,70995736_t1
70995736_t2,0.02590394,-0.114460208,70995736_t2
71022162_t1,-0.152834503,0.120193082,71022162_t1
71022162_t2,-0.076399438,-0.195766474,71022162_t2
71041789_t1,-0.00681388,0.039177096,71041789_t1
71191223_t1,-0.032805578,-0.17560302,71191223_t1
71318945_t1,0.159368792,0.159726816,71318945_t1
71382449_t1,-0.211022422,-0.050085671,71382449_t1
71382449_t2,-0.164260961,0.021837836,71382449_t2
71429144_t1,-0.137005519,0.112158154,71429144_t1
71429144_t2,-0.162474097,0.078461268,71429144_t2
71448977_t1,-0.117854897,-0.231491018,71448977_t1
71448977_t2,-0.172379746,-0.217914234,71448977_t2
71474566_t1,0.076985116,0.259372804,71474566_t1
71492982_t1,-0.134758627,-0.068487755,71492982_t1
71492982_t2,-0.051160507,0.001425158,71492982_t2
71634045_t1,0.033419439,-0.03456886,71634045_t1
71634045_t2,0.038298435,-0.036388578,71634045_t2
71645778_t1,0.218177857,-0.243848163,71645778_t1
71645778_t2,-0.147539363,-0.073929266,71645778_t2
71705246_t1,-0.197772055,0.21274938,71705246_t1
71705246_t2,-0.174729483,0.175509453,71705246_t2
71755590_t2,0.363161339,-0.008504604,71755590_t2
71869016_t1,0.200551826,0.2453433,71869016_t1
71869016_t2,0.164278555,0.292598606,71869016_t2
71894939_t2,0.157188878,0.041274002,71894939_t2
71909603_t1,-0.054952607,-0.181133731,71909603_t1
71909603_t2,-0.032501888,-0.177401892,71909603_t2
71936712_t1,-0.013090212,0.111661466,71936712_t1
71936712_t2,-0.015266793,0.141159648,71936712_t2
72043921_t1,-0.028511303,-0.123034318,72043921_t1
72111792_t1,0.052514019,-0.093145155,72111792_t1
72111792_t2,0.06754147,-0.053171861,72111792_t2
72164642_t1,-0.087043867,0.13257584,72164642_t1
72164642_t2,-0.100934351,0.211439811,72164642_t2
72196364_t2,0.111755982,0.092076505,72196364_t2
72233627_t1,-0.117457524,0.14248723,72233627_t1
72233627_t2,0.005548036,0.046261083,72233627_t2
72242320_t2,-0.013839778,0.049544174,72242320_t2
72251940_t1,0.138313319,0.122314385,72251940_t1
